ping_index	ping_time	channel_id	channel_freq	Ranges	angle_alongship	angle_athwartship
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	19.0261364	-7.649758816	8.476673126
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	20.15640259	-9.693362236	11.34402084
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	22.41693306	5.115903378	8.143882751
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	23.73557663	8.177751541	-0.097928993
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	5.427629471	-0.717058122	1.645466805
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	13.468997	-0.829911113	0.771688163
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	14.82296181	4.754158974	-0.22717379
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	18.09602165	-4.17115736	-5.335801125
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	18.97904205	-4.858934402	5.574338436
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	19.7560997	-2.12512064	-0.937019706
25	27:20.7	WBT Tube 244670-15 ES70-7CD	70000	23.29995346	6.087152004	-0.902668834
26	27:21.0	WBT Tube 244668-15 ES120-7CD	120000	13.41405487	-2.574075937	-1.81381464
26	27:21.0	WBT Tube 244668-15 ES120-7CD	120000	14.70130253	1.56903851	-2.891157627
26	27:21.0	WBT Tube 244667-15 ES200-7CD	200000	13.39443207	-2.190210342	0.765755594
26	27:21.0	WBT Tube 244673-15 ES333-7CD	333000	12.5271101	-2.404215574	-0.204199895
26	27:21.0	WBT Tube 244673-15 ES333-7CD	333000	13.38658237	-2.416182518	-0.385410398
26	27:21.0	WBT Tube 253689-7 ES38-18DK-Split	38000	10.21948433	-9.470910072	-17.4401226
26	27:21.0	WBT Tube 253689-7 ES38-18DK-Split	38000	16.0120945	0.085189186	4.760389805
26	27:21.0	WBT Tube 253689-7 ES38-18DK-Split	38000	18.97904205	-8.709812164	8.68770504
26	27:21.0	WBT Tube 253689-7 ES38-18DK-Split	38000	20.10930824	-9.60446167	9.694393158
26	27:21.0	WBT Tube 253689-7 ES38-18DK-Split	38000	22.36983871	3.962914467	7.413384438
26	27:21.0	WBT Tube 253689-7 ES38-18DK-Split	38000	23.68848228	7.926887035	0.357130378
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	5.427629471	2.670228481	1.394444585
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	6.604989529	6.908777714	-1.785932064
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	12.16212749	0.828154922	-2.142725468
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	13.41012955	-2.808897257	0.299948752
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	14.70522499	0.735208631	-0.667309463
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	15.19971657	-1.431473732	-1.040348649
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	16.54190636	-2.583189964	1.599462271
26	27:21.0	WBT Tube 244670-15 ES70-7CD	70000	22.11081886	0.193511307	0.809481025
27	27:21.3	WBT Tube 244668-15 ES120-7CD	120000	10.40001392	0.466631204	0.249111667
27	27:21.3	WBT Tube 244668-15 ES120-7CD	120000	13.37480927	-4.218040466	-2.014261007
27	27:21.3	WBT Tube 244668-15 ES120-7CD	120000	15.86296368	4.150185585	2.874326468
27	27:21.3	WBT Tube 244668-15 ES120-7CD	120000	24.76380348	2.431737185	0.459204912
27	27:21.3	WBT Tube 244673-15 ES333-7CD	333000	10.40001297	0.512389243	1.99186182
27	27:21.3	WBT Tube 244673-15 ES333-7CD	333000	15.87473679	3.026318073	3.501206398
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	8.476991653	6.298653603	6.026761532
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	10.17238998	-10.68085194	-15.7130785
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	12.43292046	15.25991917	6.154756546
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	15.91790581	1.751524091	5.759570122
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	18.93194771	-10.4461956	8.730781555
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	20.0622139	-10.76830769	8.17671299
